([1.4300000000000004, 1.2149999999999954, 1.2149999999999954], [10.0, 5.0, 5.0], [0.0, -1.0689743366649524e-13, 1.0689743366649524e-13])
([1.4400000000000004, 1.2199999999999953, 1.2199999999999953], [10.0, 5.0, 5.0], [0.0, -1.0668588795154286e-13, 1.0668588795154286e-13])
([1.4500000000000004, 1.2249999999999952, 1.2249999999999952], [10.0, 5.0, 5.0], [0.0, -1.0647291753019355e-13, 1.0647291753019355e-13])
([1.4600000000000004, 1.229999999999995, 1.229999999999995], [10.0, 5.0, 5.0], [0.0, -1.0625860493324702e-13, 1.0625860493324702e-13])
([1.4700000000000004, 1.234999999999995, 1.234999999999995], [10.0, 5.0, 5.0], [0.0, -1.0604302957362513e-13, 1.0604302957362513e-13])
([1.4800000000000004, 1.2399999999999949, 1.2399999999999949], [10.0, 5.0, 5.0], [0.0, -1.058262678696477e-13, 1.058262678696477e-13])
([1.4900000000000004, 1.2449999999999948, 1.2449999999999948], [10.0, 5.0, 5.0], [0.0, -1.0560839336289665e-13, 1.0560839336289665e-13])
([1.5000000000000004, 1.2499999999999947, 1.2499999999999947], [10.0, 5.0, 5.0], [0.0, -1.0538947683093387e-13, 1.0538947683093387e-13])
([1.5100000000000005, 1.2549999999999946, 1.2549999999999946], [10.0, 5.0, 5.0], [0.0, -1.0516958639512529e-13, 1.0516958639512529e-13])
([1.5200000000000005, 1.2599999999999945, 1.2599999999999945], [10.0, 5.0, 5.0], [0.0, -1.0494878762380718e-13, 1.0494878762380718e-13])
([1.5300000000000005, 1.2649999999999944, 1.2649999999999944], [10.0, 5.0, 5.0], [0.0, -1.0472714363102119e-13, 1.0472714363102119e-13])
([1.5400000000000005, 1.2699999999999942, 1.2699999999999942], [10.0, 5.0, 5.0], [0.0, -1.0450471517102879e-13, 1.0450471517102879e-13])
([1.5500000000000005, 1.2749999999999941, 1.2749999999999941], [10.0, 5.0, 5.0], [0.0, -1.042815607288085e-13, 1.042815607288085e-13])
([1.5600000000000005, 1.279999999999994, 1.279999999999994], [10.0, 5.0, 5.0], [0.0, -1.0405773660672468e-13, 1.0405773660672468e-13])
([1.5700000000000005, 1.284999999999994, 1.284999999999994], [10.0, 5.0, 5.0], [0.0, -1.038332970075499e-13, 1.038332970075499e-13])
([1.5800000000000005, 1.2899999999999938, 1.2899999999999938], [10.0, 5.0, 5.0], [0.0, -1.0360829411401104e-13, 1.0360829411401104e-13])
([1.5900000000000005, 1.2949999999999937, 1.2949999999999937], [10.0, 5.0, 5.0], [0.0, -1.0338277816502185e-13, 1.0338277816502185e-13])
([1.6000000000000005, 1.2999999999999936, 1.2999999999999936], [10.0, 5.0, 5.0], [0.0, -1.0315679752875527e-13, 1.0315679752875527e-13])
([1.6100000000000005, 1.3049999999999935, 1.3049999999999935], [10.0, 5.0, 5.0], [0.0, -1.0293039877270168e-13, 1.0293039877270168e-13])
([1.6200000000000006, 1.3099999999999934, 1.3099999999999934], [10.0, 5.0, 5.0], [0.0, -1.0270362673085144e-13, 1.0270362673085144e-13])
([1.6300000000000006, 1.3149999999999933, 1.3149999999999933], [10.0, 5.0, 5.0], [0.0, -1.0247652456813279e-13, 1.0247652456813279e-13])
([1.6400000000000006, 1.3199999999999932, 1.3199999999999932], [10.0, 5.0, 5.0], [0.0, -1.0224913384222975e-13, 1.0224913384222975e-13])
([1.6500000000000006, 1.324999999999993, 1.324999999999993], [10.0, 5.0, 5.0], [0.0, -1.0202149456289883e-13, 1.0202149456289883e-13])
([1.6600000000000006, 1.329999999999993, 1.329999999999993], [10.0, 5.0, 5.0], [0.0, -1.017936452488962e-13, 1.017936452488962e-13])
([1.6700000000000006, 1.3349999999999929, 1.3349999999999929], [10.0, 5.0, 5.0], [0.0, -1.0156562298262309e-13, 1.0156562298262309e-13])
([1.6800000000000006, 1.3399999999999928, 1.3399999999999928], [10.0, 5.0, 5.0], [0.0, -1.0133746346258999e-13, 1.0133746346258999e-13])
([1.6900000000000006, 1.3449999999999926, 1.3449999999999926], [10.0, 5.0, 5.0], [0.0, -1.0110920105379674e-13, 1.0110920105379674e-13])
([1.7000000000000006, 1.3499999999999925, 1.3499999999999925], [10.0, 5.0, 5.0], [0.0, -1.0088086883612027e-13, 1.0088086883612027e-13])
([1.7100000000000006, 1.3549999999999924, 1.3549999999999924], [10.0, 5.0, 5.0], [0.0, -1.0065249865079699e-13, 1.0065249865079699e-13])
([1.7200000000000006, 1.3599999999999923, 1.3599999999999923], [10.0, 5.0, 5.0], [0.0, -1.0042412114508322e-13, 1.0042412114508322e-13])
([1.7300000000000006, 1.3649999999999922, 1.3649999999999922], [10.0, 5.0, 5.0], [0.0, -1.0019576581517229e-13, 1.0019576581517229e-13])
([1.7400000000000007, 1.3699999999999921, 1.3699999999999921], [10.0, 5.0, 5.0], [0.0, -9.996746104744415e-14, 9.996746104744415e-14])
([1.7500000000000007, 1.374999999999992, 1.374999999999992], [10.0, 5.0, 5.0], [0.0, -9.973923415811852e-14, 9.973923415811852e-14])
([1.7600000000000007, 1.379999999999992, 1.379999999999992], [10.0, 5.0, 5.0], [0.0, -9.951111143138036e-14, 9.951111143138036e-14])
([1.7700000000000007, 1.3849999999999918, 1.3849999999999918], [10.0, 5.0, 5.0], [0.0, -9.928311815604203e-14, 9.928311815604203e-14])
([1.7800000000000007, 1.3899999999999917, 1.3899999999999917], [10.0, 5.0, 5.0], [0.0, -9.905527866080517e-14, 9.905527866080517e-14])
([1.7900000000000007, 1.3949999999999916, 1.3949999999999916], [10.0, 5.0, 5.0], [0.0, -9.882761634817996e-14, 9.882761634817996e-14])
([1.8000000000000007, 1.3999999999999915, 1.3999999999999915], [10.0, 5.0, 5.0], [0.0, -9.86001537271191e-14, 9.86001537271191e-14])
([1.8100000000000007, 1.4049999999999914, 1.4049999999999914], [10.0, 5.0, 5.0], [0.0, -9.837291244442013e-14, 9.837291244442013e-14])
